train_loss,train_accuracy,epoch,step,validation_loss,validation_accuracy
2.3279359340667725,0.10999999940395355,0,79,,
,,0,79,2.3196797370910645,0.10300000011920929
2.298891305923462,0.10999999940395355,1,159,,
,,1,159,2.3161239624023438,0.10300000011920929
2.307023525238037,0.07999999821186066,2,239,,
,,2,239,2.314206600189209,0.10300000011920929
2.309232711791992,0.07999999821186066,3,319,,
,,3,319,2.313539505004883,0.10249999910593033
2.298851490020752,0.10999999940395355,4,399,,
,,4,399,2.3129985332489014,0.10249999910593033
2.3098223209381104,0.15000000596046448,5,479,,
,,5,479,2.312554121017456,0.10249999910593033
2.3077969551086426,0.11999999731779099,6,559,,
,,6,559,2.3121843338012695,0.10249999910593033
2.305385112762451,0.10000000149011612,7,639,,
,,7,639,2.3118679523468018,0.10249999910593033
2.2939319610595703,0.10000000149011612,8,719,,
,,8,719,2.3115975856781006,0.10249999910593033
2.303530216217041,0.03999999910593033,9,799,,
,,9,799,2.311372756958008,0.10249999910593033
2.2934463024139404,0.1899999976158142,10,879,,
,,10,879,2.3111839294433594,0.10249999910593033
2.300734758377075,0.12999999523162842,11,959,,
,,11,959,2.311026096343994,0.10249999910593033
2.3028738498687744,0.10999999940395355,12,1039,,
,,12,1039,2.310896396636963,0.10249999910593033
2.298710584640503,0.12999999523162842,13,1119,,
,,13,1119,2.3107852935791016,0.10249999910593033
2.308135747909546,0.10000000149011612,14,1199,,
,,14,1199,2.3106935024261475,0.10249999910593033
2.307070255279541,0.07999999821186066,15,1279,,
,,15,1279,2.3106184005737305,0.10249999910593033
2.299625873565674,0.12999999523162842,16,1359,,
,,16,1359,2.310554027557373,0.10249999910593033
2.3058245182037354,0.07999999821186066,17,1439,,
,,17,1439,2.3105039596557617,0.10249999910593033
2.2998385429382324,0.10999999940395355,18,1519,,
,,18,1519,2.3104631900787354,0.10249999910593033
2.3022377490997314,0.10000000149011612,19,1599,,
,,19,1599,2.310429096221924,0.10249999910593033
