train_loss,train_accuracy,epoch,step,validation_loss,validation_accuracy,test_loss,test_accuracy
2.2250466346740723,0.10999999940395355,0,79,,,,
,,0,79,2.227787494659424,0.1875,,
2.1318094730377197,0.3199999928474426,1,159,,,,
,,1,159,2.1145496368408203,0.3779999911785126,,
1.8973652124404907,0.47999998927116394,2,239,,,,
,,2,239,1.9169801473617554,0.5189999938011169,,
1.6281150579452515,0.5400000214576721,3,319,,,,
,,3,319,1.636277675628662,0.5460000038146973,,
1.3112667798995972,0.6800000071525574,4,399,,,,
,,4,399,1.3962831497192383,0.5764999985694885,,
1.167127251625061,0.6800000071525574,5,479,,,,
,,5,479,1.22628653049469,0.6029999852180481,,
1.0401684045791626,0.6499999761581421,6,559,,,,
,,6,559,1.109578013420105,0.6165000200271606,,
0.9942562580108643,0.6299999952316284,7,639,,,,
,,7,639,1.0275741815567017,0.6445000171661377,,
0.9356898665428162,0.6299999952316284,8,719,,,,
,,8,719,0.9681195616722107,0.6545000076293945,,
0.800957202911377,0.7300000190734863,9,799,,,,
,,9,799,0.922530472278595,0.6445000171661377,,
1.0834095478057861,0.5799999833106995,10,879,,,,
,,10,879,0.8869836926460266,0.6744999885559082,,
0.8800427913665771,0.6899999976158142,11,959,,,,
,,11,959,0.8559315204620361,0.6794999837875366,,
0.6879625916481018,0.7599999904632568,12,1039,,,,
,,12,1039,0.8304253816604614,0.6765000224113464,,
0.7019535899162292,0.75,13,1119,,,,
,,13,1119,0.8035820722579956,0.7095000147819519,,
0.8081477284431458,0.75,14,1199,,,,
,,14,1199,0.7829395532608032,0.7124999761581421,,
0.7344606518745422,0.6899999976158142,15,1279,,,,
,,15,1279,0.7698739171028137,0.7120000123977661,,
0.6513999104499817,0.7900000214576721,16,1359,,,,
,,16,1359,0.7523141503334045,0.7114999890327454,,
0.5517434477806091,0.8299999833106995,17,1439,,,,
,,17,1439,0.7347486615180969,0.7310000061988831,,
0.8143730163574219,0.7099999785423279,18,1519,,,,
,,18,1519,0.7220363616943359,0.7294999957084656,,
0.626797080039978,0.7900000214576721,19,1599,,,,
,,19,1599,0.7110666632652283,0.7404999732971191,,
,,20,1600,,,0.6970446705818176,0.747783362865448
