train_loss,train_accuracy,epoch,step,validation_loss,validation_accuracy
0.4170309901237488,0.8461538553237915,0,6,,
,,0,6,0.32850220799446106,0.8888888955116272
0.22918343544006348,1.0,1,13,,
,,1,13,0.19851376116275787,1.0
0.23274794220924377,1.0,2,20,,
,,2,20,0.15804630517959595,1.0
0.16577264666557312,1.0,3,27,,
,,3,27,0.14514121413230896,0.9629629850387573
0.23997576534748077,0.9230769276618958,4,34,,
,,4,34,0.12960363924503326,1.0
0.156233549118042,0.9230769276618958,5,41,,
,,5,41,0.0962572991847992,1.0
0.10138093680143356,1.0,6,48,,
,,6,48,0.09191516786813736,1.0
0.13868595659732819,0.9230769276618958,7,55,,
,,7,55,0.07864225655794144,1.0
0.04812445119023323,1.0,8,62,,
,,8,62,0.07456840574741364,1.0
0.16107557713985443,0.9230769276618958,9,69,,
,,9,69,0.08087649196386337,1.0
0.24744762480258942,0.8461538553237915,10,76,,
,,10,76,0.13748838007450104,0.9629629850387573
0.06287180632352829,1.0,11,83,,
,,11,83,0.05925079807639122,1.0
0.14087826013565063,0.9230769276618958,12,90,,
,,12,90,0.056586701422929764,1.0
0.04914631322026253,1.0,13,97,,
,,13,97,0.05218375101685524,1.0
0.11737814545631409,1.0,14,104,,
,,14,104,0.049395591020584106,1.0
0.052135150879621506,1.0,15,111,,
,,15,111,0.044224049896001816,1.0
0.2388751208782196,0.8461538553237915,16,118,,
,,16,118,0.04457063972949982,1.0
0.1651252955198288,0.8461538553237915,17,125,,
,,17,125,0.0414079912006855,1.0
0.03948195278644562,1.0,18,132,,
,,18,132,0.039541129022836685,1.0
0.028755230829119682,1.0,19,139,,
,,19,139,0.03733786940574646,1.0
